,Steered Parameter Value,Fitness,Time
173,0.18,0.7588900000000001,12.192848682403564
174,0.18,0.75806,12.231044054031372
175,0.18,0.76007,12.17698621749878
176,0.18,0.75848,12.019023180007935
177,0.18,0.75806,12.056644439697266
178,0.18,0.75897,12.238990306854248
179,0.18,0.75832,12.274019956588745
180,0.19000001,0.75925,12.38756775856018
181,0.19000001,0.75838,12.518776893615723
182,0.19000001,0.75895,12.4349684715271
183,0.19000001,0.75762,12.513986825942993
184,0.19000001,0.7582800000000001,12.493528604507446
185,0.19000001,0.76034,12.001346588134766
186,0.19000001,0.75935,12.008538246154785
187,0.19000001,0.75781,12.161420822143555
188,0.19000001,0.76008,12.091184616088867
189,0.19000001,0.76033,12.10328459739685
190,0.20000002,0.75698,12.173266172409058
191,0.20000002,0.75852,12.152026653289795
192,0.20000002,0.76046,12.105563879013062
193,0.20000002,0.75962,12.084171056747437
194,0.20000002,0.7570399999999999,12.199152946472168
195,0.20000002,0.75844,12.181351900100708
196,0.20000002,0.75701,12.148094654083252
197,0.20000002,0.75759,12.076236009597778
198,0.20000002,0.75806,12.265836238861084
199,0.20000002,0.7620899999999999,12.140802383422852
200,0.21000002,0.75937,12.230564832687378
201,0.21000002,0.75625,12.217514753341675
202,0.21000002,0.75746,12.138118743896484
203,0.21000002,0.75719,12.246315240859985
204,0.21000002,0.759,12.392277240753174
205,0.21000002,0.75685,12.049444913864136
206,0.21000002,0.7592,12.298703670501709
207,0.21000002,0.75792,12.437296867370605
208,0.21000002,0.7572,12.26787281036377
209,0.21000002,0.75714,12.037723779678345
210,0.22000003,0.75713,12.18359088897705
211,0.22000003,0.75854,12.285776138305664
212,0.22000003,0.75918,12.19215178489685
213,0.22000003,0.75665,12.272308826446533
214,0.22000003,0.758,12.228193283081055
215,0.22000003,0.75681,12.201377391815186
216,0.22000003,0.75819,12.267821073532104
217,0.22000003,0.75846,12.197236061096191
218,0.22000003,0.7585,12.247244834899902
219,0.22000003,0.75945,12.063116073608398
220,0.23000003,0.75895,12.201404809951782
221,0.23000003,0.7573799999999999,12.176456212997437
222,0.23000003,0.75764,12.343958854675293
223,0.23000003,0.75964,12.64994478225708
224,0.23000003,0.7565500000000001,12.247016429901123
225,0.23000003,0.75714,13.050648927688599
226,0.23000003,0.75901,12.200964212417603
227,0.23000003,0.7572,12.19358491897583
228,0.23000003,0.7582,13.522013425827026
229,0.23000003,0.75737,12.337284803390503
230,0.24000004,0.75751,12.317463159561157
231,0.24000004,0.75743,12.292203187942505
232,0.24000004,0.75729,12.271820306777954
233,0.24000004,0.7576499999999999,12.400619268417358
234,0.24000004,0.75749,12.27057409286499
235,0.24000004,0.75664,12.62083125114441
236,0.24000004,0.7568699999999999,12.609672784805298
237,0.24000004,0.75761,12.47378420829773
238,0.24000004,0.75769,12.732630729675293
239,0.24000004,0.75869,12.503174781799316
240,0.25000003,0.76139,12.676745176315308
241,0.25000003,0.7578,12.688551187515259
242,0.25000003,0.7585999999999999,12.742305278778076
243,0.25000003,0.75868,12.67622184753418
244,0.25000003,0.75718,12.41076111793518
245,0.25000003,0.76097,12.675861597061157
246,0.25000003,0.7576,12.68938684463501
247,0.25000003,0.75825,12.731189012527466
248,0.25000003,0.75809,12.425549745559692
249,0.25000003,0.75788,12.283697605133057
250,0.26000002,0.75836,12.186812400817871
251,0.26000002,0.75761,12.354839086532593
252,0.26000002,0.7570600000000001,13.104241609573364
253,0.26000002,0.7573,12.544637441635132
254,0.26000002,0.7575000000000001,12.523794651031494
255,0.26000002,0.7567699999999999,12.644009828567505
256,0.26000002,0.75634,12.75947380065918
257,0.26000002,0.7570399999999999,13.109896898269653
258,0.26000002,0.75751,12.467926025390625
259,0.26000002,0.75734,12.495215892791748
260,0.27,0.75892,12.477620363235474
261,0.27,0.75774,12.73726487159729
262,0.27,0.7573,13.140301704406738
263,0.27,0.75869,12.716599225997925
264,0.27,0.7574,12.584153652191162
265,0.27,0.75758,12.868703603744507
266,0.27,0.7573,12.795227527618408
267,0.27,0.75658,12.797901391983032
268,0.27,0.75838,12.758594989776611
269,0.27,0.75754,13.2196044921875
270,0.28,0.75707,12.697385311126709
271,0.28,0.75822,12.42218828201294
272,0.28,0.75647,12.721035242080688
273,0.28,0.7568699999999999,12.70663857460022
274,0.28,0.7571,12.428123712539673
275,0.28,0.75488,13.261412143707275
276,0.28,0.75593,12.293494939804077
277,0.28,0.75804,12.360073328018188
278,0.28,0.75779,12.296020746231079
279,0.28,0.75732,12.405301570892334
280,0.29,0.75695,12.339007377624512
281,0.29,0.75732,12.206206560134888
282,0.29,0.75924,12.333454370498657
283,0.29,0.75658,12.511999607086182
284,0.29,0.75661,12.605022192001343
285,0.29,0.7581100000000001,13.986435890197754
286,0.29,0.7578,13.300244092941284
287,0.29,0.75766,12.86309003829956
288,0.29,0.75629,14.037369966506958
289,0.29,0.7564500000000001,13.033363342285156
290,0.29999998,0.7564299999999999,12.75432825088501
291,0.29999998,0.75683,15.097040176391602
292,0.29999998,0.75636,14.133382797241211
293,0.29999998,0.7579,12.514796495437622
294,0.29999998,0.75651,12.38590145111084
295,0.29999998,0.7567699999999999,12.512396574020386
296,0.29999998,0.75699,12.35135555267334
297,0.29999998,0.7572099999999999,12.527361154556274
298,0.29999998,0.7574799999999999,12.325748205184937
299,0.29999998,0.75835,12.42180061340332
300,0.30999997,0.7573799999999999,12.415960311889648
301,0.30999997,0.75722,12.419133424758911
302,0.30999997,0.75711,12.406850814819336
303,0.30999997,0.75705,12.266943216323853
304,0.30999997,0.7579899999999999,12.369710922241211
305,0.30999997,0.75577,12.46690583229065
306,0.30999997,0.75812,12.603981018066406
307,0.30999997,0.75859,12.352980852127075
308,0.30999997,0.75618,18.57265543937683
309,0.30999997,0.75703,12.775076627731323
310,0.31999996,0.7562599999999999,12.607799768447876
311,0.31999996,0.75928,12.588857889175415
312,0.31999996,0.75673,12.738560199737549
313,0.31999996,0.75602,12.569036722183228
